カテゴリ名,サブカテゴリ名,アイテム名,所要日数作業単位_数量,所要日数作業単位_単位,基本所要日数名,基本所要日数,歩掛作業単位_数量,歩掛作業単位_単位,基本歩掛名,歩掛カテゴリ,項目名,歩掛数量,歩掛単位,説明
基礎工,打撃工法,継手管内排土工継手,,,,,100,m,,労務,普通作業員,表4.9,人,
基礎工,打撃工法,継手管内排土工継手,,,,,100,m,,機械,杭打ち用ウォータジェット運転,表4.9,日,機械損料
基礎工,打撃工法,継手管内排土工継手,,,,,100,m,,,諸雑費,1,式,表4.9
基礎工,打撃工法,継手管内モルタル注入工継手,,,,,100,m,,労務,土木一般世話役,表4.10,人,
基礎工,打撃工法,継手管内モルタル注入工継手,,,,,100,m,,労務,特殊作業員,表4.10,人,
基礎工,打撃工法,継手管内モルタル注入工継手,,,,,100,m,,労務,普通作業員,表4.10,人,
基礎工,打撃工法,継手管内モルタル注入工継手,,,,,100,m,,,注入材料,,m³,式4.2
基礎工,打撃工法,継手管内モルタル注入工継手,,,,,100,m,,機械,発動発電機運転,表4.10,日,機械賃料
基礎工,打撃工法,継手管内モルタル注入工継手,,,,,100,m,,,諸雑費,1,式,表4.10
基礎工,打撃工法,継手管内止水材注入工継手,,,,,100,m,,労務,土木一般世話役,表4.12,人,
基礎工,打撃工法,継手管内止水材注入工継手,,,,,100,m,,労務,特殊作業員,表4.12,人,
基礎工,打撃工法,継手管内止水材注入工継手,,,,,100,m,,労務,普通作業員,表4.12,人,
基礎工,打撃工法,継手管内止水材注入工継手,,,,,100,m,,,注入材料,,m³,式4.3
基礎工,打撃工法,継手管内止水材注入工継手,,,,,100,m,,,止水袋,,,必要数量計上
基礎工,打撃工法,継手管内止水材注入工継手,,,,,100,m,,機械,発動発電機運転,表4.12,日,機械賃料
基礎工,打撃工法,継手管内止水材注入工継手,,,,,100,m,,,諸雑費,1,式,表4.12
基礎工,打撃工法,井筒内掘削工,,,,,10,m³,,労務,土木一般世話役,表4.14,人,
基礎工,打撃工法,井筒内掘削工,,,,,10,m³,,労務,普通作業員,表4.14,人,
基礎工,打撃工法,井筒内掘削工,,,,,10,m³,,機械,クラムシェル運転,表4.14,日,機械損料
基礎工,打撃工法,井筒内掘削工,,,,,10,m³,,,諸雑費,1,式,
基礎工,打撃工法,底面均し(敷砂) 工,,,,,10,m³,,労務,土木一般世話役,表4.15,人,
基礎工,打撃工法,底面均し(敷砂) 工,,,,,10,m³,,,潜水士,表4.15,人,
基礎工,打撃工法,底面均し(敷砂) 工,,,,,10,m³,,労務,普通作業員,表4.15,人,
基礎工,打撃工法,底面均し(敷砂) 工,,,,,10,m³,,,敷砂材料,10,m³,
基礎工,打撃工法,底面均し(敷砂) 工,,,,,10,m³,,機械,クラムシェル運転,表4.15,日,機械損料
基礎工,打撃工法,底面均し(敷砂) 工,,,,,10,m³,,,諸雑費,1,式,表4.15
基礎工,打撃工法,底盤コンクリート打設工,,,,,10,m³,,労務,土木一般世話役,表4.16,人,
基礎工,打撃工法,底盤コンクリート打設工,,,,,10,m³,,労務,特殊作業員,表4.16,人,
基礎工,打撃工法,底盤コンクリート打設工,,,,,10,m³,,労務,普通作業員,表4.16,人,
基礎工,打撃工法,底盤コンクリート打設工,,,,,10,m³,,資材,コンクリート,,m³,式4.4
基礎工,打撃工法,底盤コンクリート打設工,,,,,10,m³,,機械,コンクリートポンプ車運転,表4.16,日,機械損料
基礎工,打撃工法,底盤コンクリート打設工,,,,,10,m³,,,諸雑費,1,式,
基礎工,打撃工法,井筒内支保設置・撤去工,,,,,10,t,,労務,土木一般世話役,表4.18,人,
基礎工,打撃工法,井筒内支保設置・撤去工,,,,,10,t,,労務,とび工,表4.18,人,
基礎工,打撃工法,井筒内支保設置・撤去工,,,,,10,t,,労務,溶接工,表4.18,人,
基礎工,打撃工法,井筒内支保設置・撤去工,,,,,10,t,,労務,普通作業員,表4.18,人,
基礎工,打撃工法,井筒内支保設置・撤去工,,,,,10,t,,機械,クローラクレーン運転,表4.18,日,機械損料
基礎工,打撃工法,井筒内支保設置・撤去工,,,,,10,t,,,諸雑費,1,式,表4.18
基礎工,打撃工法,井筒内支保間詰コンクリート工,,,,,10,m³,,労務,土木一般世話役,表4.19,人,
基礎工,打撃工法,井筒内支保間詰コンクリート工,,,,,10,m³,,労務,特殊作業員,表4.19,人,
基礎工,打撃工法,井筒内支保間詰コンクリート工,,,,,10,m³,,労務,普通作業員,表4.19,人,
基礎工,打撃工法,井筒内支保間詰コンクリート工,,,,,10,m³,,資材,コンクリート,,m³,式4.5
基礎工,打撃工法,井筒内支保間詰コンクリート工,,,,,10,m³,,機械,コンクリートポンプ車運転,表4.19,日,機械損料
基礎工,打撃工法,井筒内支保間詰コンクリート工,,,,,10,m³,,,諸雑費,1,式,
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,労務,土木一般世話役,表4.21,人,
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,労務,特殊作業員,表4.21,人,
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,労務,溶接工,表4.21,人,
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,労務,普通作業員,表4.21,人,
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,資材,鉄筋スタッド鋼材,40,本,
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,機械,鉄筋スタッド施工機械運転,表4.21,日,スタッド溶殖機・4連ガン・制御装置・昇降フレーム・電動空気圧縮機。自走式リフト(2台)を含む 機械損料
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,機械,発動発電機運転,表4.21,日,機械賃料
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,機械,トラッククレーン運転,表4.21,日,機械賃料
基礎工,打撃工法,コネクタ取付工(鉄筋スタッド方式) 4列10段当り,,,,,,,,,諸雑費,1,式,表4.21
基礎工,打撃工法,コネクタ取付工 (プレートブラケット方式),,,,,1,t,,労務,土木一般世話役,表4.22,人,
基礎工,打撃工法,コネクタ取付工 (プレートブラケット方式),,,,,1,t,,労務,溶接工,表4.22,人,
基礎工,打撃工法,コネクタ取付工 (プレートブラケット方式),,,,,1,t,,労務,普通作業員,表4.22,人,
基礎工,打撃工法,コネクタ取付工 (プレートブラケット方式),,,,,1,t,,,コネクタ,1,t,
基礎工,打撃工法,コネクタ取付工 (プレートブラケット方式),,,,,1,t,,機械,クローラクレーン運転,表4.22,日,機械損料
基礎工,打撃工法,コネクタ取付工 (プレートブラケット方式),,,,,1,t,,機械,電気溶接機運転,表4.22,日,機械損料
基礎工,打撃工法,コネクタ取付工 (プレートブラケット方式),,,,,1,t,,機械,発動発電機運転,表4.22,日,機械賃料
基礎工,打撃工法,コネクタ取付工 (プレートブラケット方式),,,,,1,t,,,諸雑費,1,式,
基礎工,打撃工法,鋼管矢板切断・撤去工,,,,,10,本,,労務,土木一般世話役,$T_x\times1$,人,表4.23
基礎工,打撃工法,鋼管矢板切断・撤去工,,,,,10,本,,労務,とび工,$T_x\times1$,人,
基礎工,打撃工法,鋼管矢板切断・撤去工,,,,,10,本,,労務,特殊作業員,$T_x\times1$,人,
基礎工,打撃工法,鋼管矢板切断・撤去工,,,,,10,本,,労務,普通作業員,$T_x\times1$,人,
基礎工,打撃工法,鋼管矢板切断・撤去工,,,,,10,本,,機械,水中切断機運転,$T_y$,日,表4.24 機械損料
基礎工,打撃工法,鋼管矢板切断・撤去工,,,,,10,本,,機械,バイブロハンマ運転,$T_z$,日,表4.25 機械損料
基礎工,打撃工法,鋼管矢板切断・撤去工,,,,,10,本,,機械,発動発電機運転,$T_z$,日,機械賃料
基礎工,打撃工法,鋼管矢板切断・撤去工,,,,,10,本,,,諸雑費,1,式,
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,労務,土木一般世話役,$10\times T_c/60\times1/T\times1$,人,表4.1
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,労務,溶接工,$10\times T_c/60\times1/T\times2$,人,
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,労務,特殊作業員,$10\times T_c/60\times1/T\times1$,人,
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,労務,とび工,$10\times T_c/60\times1/T\times2$,人,
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,労務,普通作業員,$10\times T_c/60\times1/T\times1$,人,
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,,鋼管矢板,10,本,"肉厚, 杭径毎に別段書き"
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,機械,クローラ式アースオーガ アースオーガ中掘機運転,$10\times T_c/60$,h,表3.1 機械損料
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,機械,クローラクレーン運転,$10\times T_c/60\times0.6$,h,表3.1 機械損料
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,機械,バックホウ (クローラ型)運転,$10\times T_c/60\times0.3$,h,表3.1 機械損料 (注)3
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,機械,モルタルプラント運転,$10\times T_c/60\times1/T$,日,表3.1 機械損料
基礎工,中掘工法,鋼管矢板打込工(中掘工法),,,,,10,本,,,諸雑費,1,式,表4.4
コンクリート工,張りコンクリート工,基面整正,,,,,100,m²,,労務,土木一般世話役,表4.1,人,
コンクリート工,張りコンクリート工,基面整正,,,,,100,m²,,労務,普通作業員,表4.1,人,
コンクリート工,張りコンクリート工,基面整正,,,,,100,m²,,,諸雑費,1,式,
コンクリート工,張りコンクリート工,型枠工 (縦排水溝・小段排水溝、防草コンクリート),,,,,10,m²,,労務,土木一般世話役,表4.2,人,
コンクリート工,張りコンクリート工,型枠工 (縦排水溝・小段排水溝、防草コンクリート),,,,,10,m²,,労務,型わく工,表4.2,人,
コンクリート工,張りコンクリート工,型枠工 (縦排水溝・小段排水溝、防草コンクリート),,,,,10,m²,,労務,普通作業員,表4.2,人,
コンクリート工,張りコンクリート工,型枠工 (縦排水溝・小段排水溝、防草コンクリート),,,,,10,m²,,,諸雑費,1,式,
コンクリート工,張りコンクリート工,"コンクリート打設工 (縦排水溝,小段排水溝)",,,,,100,m²,,労務,土木一般世話役,表4.4,人,
コンクリート工,張りコンクリート工,"コンクリート打設工 (縦排水溝,小段排水溝)",,,,,100,m²,,労務,特殊作業員,表4.4,人,
コンクリート工,張りコンクリート工,"コンクリート打設工 (縦排水溝,小段排水溝)",,,,,100,m²,,労務,普通作業員,表4.4,人,
コンクリート工,張りコンクリート工,"コンクリート打設工 (縦排水溝,小段排水溝)",,,,,100,m²,,資材,コンクリート,,m³,式4.1
コンクリート工,張りコンクリート工,"コンクリート打設工 (縦排水溝,小段排水溝)",,,,,100,m²,,機械,バックホウ(クローラ型)運転,表4.4,h,機械損料
コンクリート工,張りコンクリート工,"コンクリート打設工 (縦排水溝,小段排水溝)",,,,,100,m²,,機械,ラフテレーンクレーン運転,表4.4,日,機械賃料
コンクリート工,張りコンクリート工,"コンクリート打設工 (縦排水溝,小段排水溝)",,,,,100,m²,,,諸雑費,1,式,表4.4
コンクリート工,張りコンクリート工,コンクリート打設工 (防草コンクリート),,,,,100,m²,,労務,土木一般世話役,表4.5,人,
コンクリート工,張りコンクリート工,コンクリート打設工 (防草コンクリート),,,,,100,m²,,労務,特殊作業員,表4.5,人,
コンクリート工,張りコンクリート工,コンクリート打設工 (防草コンクリート),,,,,100,m²,,労務,普通作業員,表4.5,人,
コンクリート工,張りコンクリート工,コンクリート打設工 (防草コンクリート),,,,,100,m²,,資材,コンクリート,,m³,式4.1
コンクリート工,張りコンクリート工,コンクリート打設工 (防草コンクリート),,,,,100,m²,,機械,バックホウ(クローラ型)運転,表4.5,日,機械賃料
コンクリート工,張りコンクリート工,コンクリート打設工 (防草コンクリート),,,,,100,m²,,,諸雑費,1,式,表4.5
コンクリート工,張りコンクリート工,"一般養生 (縦排水溝,小段排水溝,防草コンクリート)",,,,,100,m²,,労務,土木一般世話役,表4.6,人,
コンクリート工,張りコンクリート工,"一般養生 (縦排水溝,小段排水溝,防草コンクリート)",,,,,100,m²,,労務,普通作業員,表4.6,人,
コンクリート工,張りコンクリート工,"一般養生 (縦排水溝,小段排水溝,防草コンクリート)",,,,,100,m²,,,諸雑費,1,式,
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,労務,土木一般世話役,$10/N\times1$,人,"表3.6,表3.8~表3.11, 表3.20~表3.23,表3.32,表3.33"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,労務,とび工,$10/N\times2$,人,
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,労務,普通作業員,$10/N\times1$,人,
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,労務,溶接工,$10/N\times2$,人,(必要に応じて計上)
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,機械,バイブロハンマ杭打機運転,$10/N$,日,"表3.1~表3.4,表3.8~表3.11,表3.20~表3.23,表3.32,表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,機械,引船運転,$10/N$,供用日,"表3.5 (必要に応じて計上) 表3.8~表3.11,表3.20~表3.23,表3.32,表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,機械,クレーン付台船運転,$10/N$,日,"表3.5 (必要に応じて計上) 表3.8~表3.11,表3.20~表3.23,表3.32,表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,機械,矢板積台船運転,$10/N$,日,"表3.5 (必要に応じて計上) 表3.8~表3.11,表3.20~表3.23,表3.32,表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,労務,継施工費,(必要に応じて計上),$10\times X$,
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマ施工による鋼矢板等の打込み又は引抜き （本）,,,,,10,枚,,,諸雑費,1,式,表3.34
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,労務,土木一般世話役,$10/N\times1$,人,"表3.6, 表3.12~表3.19, 表3.24~表3.31, 表3.33"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,労務,とび工,$10/N\times2$,人,
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,労務,普通作業員,$10/N\times1$,人,
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,労務,溶接工,$10/N\times2$,人,
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,機械,バイブロハンマ杭打機運転,$10/N\times T/G$,日,"表3.1,表3.2,表3.4, 表3.12~表3.19, 表3.24~表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,機械,杭打ち用ウォータジェット運転,$10/N\times T/G$,日,"表3.1,表3.2,表3.12~表3.19, 表3.24~表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,機械,引船運転,$10/N$,日,"表3.5 (必要に応じて計上) 表3.12~表3.19, 表3.24~表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,機械,クレーン付台船運転,$10/N$,日,"表3.5 (必要に応じて計上) 表3.12~表3.19, 表3.24~表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,機械,矢板積台船運転,$10/N$,日,"表3.5 (必要に応じて計上) 表3.12~表3.19, 表3.24~表3.33 機械損料"
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,労務,継施工費,(必要に応じて計上),$10\times X$,
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,バイブロハンマとウォータジェット併用施工による鋼矢板等の打込み （本）,,,,,10,枚,,,諸雑費,1,式,表3.34
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,矢板積台船(200t積)運転,,,,,1,日,,,矢板積台船,1.31,供用日,機械損料
仮設工,鋼矢板(H形鋼) 工 バイブロハンマ工,矢板積台船(200t積)運転,,,,,1,日,,,諸雑費,1,式,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(Nmax\le25)$,,,,,10,枚,,労務,土木一般世話役,$10/N\times1$,人,表3.3 表3.5
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(Nmax\le25)$,,,,,10,枚,,労務,特殊作業員,$10/N\times1$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(Nmax\le25)$,,,,,10,枚,,労務,とび工,$10/N\times2$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(Nmax\le25)$,,,,,10,枚,,機械,油圧式杭圧入引抜機運転,$10/N$,日,表3.1 表3.5 機械損料
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(Nmax\le25)$,,,,,10,枚,,機械,ラフテレーンクレーン運転,$10/N$,日,表3.2(注)2 表3.5 機械損料 陸上からの施工のみ計上する。
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(Nmax\le25)$,,,,,10,枚,,機械,クレーン付台船運転,$10/N$,日,表3.2(注)3 表3.5 機械損料 水上からの施工のみ計上する。
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(Nmax\le25)$,,,,,10,枚,,機械,引船運転,$10/N$,日,表3.2(注)3 表3.5 機械損料 水上からの施工のみ計上する。
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(Nmax\le25)$,,,,,10,枚,,,諸雑費,1,式,表3.17
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,労務,土木一般世話役,$10/N\times1$,人,表3.3 表3.6
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,労務,特殊作業員,$10/N\times1$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,労務,とび工,$10/N\times2$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,油圧式杭圧入引抜機運転,$10/N$,日,表3.1 表3.6 機械損料
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,杭打ち用ウォータジェット運転,$10/N$,日,表3.2 表3.6 機械損料
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,ラフテレーンクレーン運転,$10/N$,日,表3.2(注)3 表3.6 機械損料 陸上からの施工のみ計上する。
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,クレーン付台船運転,$10/N$,日,表3.2(注)4 表3.6 機械損料 水上からの施工のみ計上する。
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,引船運転,$10/N$,日,表3.2(注)4 表3.6 機械損料 水上からの施工のみ計上する。
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 (Nmax≤50),,,,,10,枚,,,諸雑費,1,式,表3.17
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(50<Nmax\le600)$,,,,,10,枚,,労務,土木一般世話役,$10/N\times1$,人,表3.3 表3.7~表3.11
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(50<Nmax\le600)$,,,,,10,枚,,労務,特殊作業員,$10/N\times1$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(50<Nmax\le600)$,,,,,10,枚,,労務,とび工,$10/N\times2$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(50<Nmax\le600)$,,,,,10,枚,,機械,油圧式杭圧入引抜機運転,$10/N$,日,表3.1 表3.7~表3.11 機械損料
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(50<Nmax\le600)$,,,,,10,枚,,機械,ラフテレーンクレーン運転,$10/N$,日,表3.2(注)2 表3.7~表3.11 機械損料 陸上からの施工のみ計上する。
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板圧入 $(50<Nmax\le600)$,,,,,10,枚,,,諸雑費,1,式,表3.17
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,労務,土木一般世話役,$10\times1/N$ or $N'\times1$,人,"表3.3 表3.13,表3.15"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,労務,特殊作業員,$10\times1/N$ or $N'\times1$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,労務,とび工,$10\times2/N$ or $N'\times2$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,労務,溶接工,$10\times2/N$ or $N'\times2$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,労務,継施工費,,$10\times X$,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,機械,油圧式杭圧入引抜機運転,$10/N$ or $N'$,日,"表3.1 表3.13,表3.15 機械損料"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,機械,ラフテレーンクレーン運転,$10/N$ or $N'$,日,"表3.2(注)2 表3.13,表3.15 機械損料 陸上からの施工のみ計上する。"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,機械,クレーン付台船運転,$10/N$ or $N'$,日,"表3.2(注)3 表3.13,表3.15 機械損料 水上からの施工のみ計上する。"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,機械,引船運転,$10/N$ or $N'$,日,"表3.2(注)3 表3.13,表3.15 機械損料 水上からの施工のみ計上する。"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤25),,,,,10,枚,,,諸雑費,1,式,表3.17
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,労務,土木一般世話役,$10\times1/N$ or $N'$,人,表3.3 表3.14 表3.15
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,労務,特殊作業員,$10\times1/N$ or $N'$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,労務,とび工,$10\times2/N$ or $N'$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,労務,溶接工,$10\times2/N$ or $N'$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,労務,継施工費,,$10\times X$,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,油圧式杭圧入引抜機運転,$10/N$ or $N'$,日,"表3.1 表3.14,表3.15 機械損料"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,杭打ち用ウォータジェット運転,$10/N$ or $N'$,日,"表3.2 表3.14,表3.15 機械損料"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,ラフテレーンクレーン運転,$10/N$ or $N'$,日,"表3.2(注)3 表3.14,表3.15 機械損料 陸上からの施工のみ計上する。"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,クレーン付台船運転,$10/N$ or $N'$,日,"表3.2(注)4 表3.14,表3.15 機械損料 水上からの施工のみ計上する。"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,機械,引船運転,$10/N$ or $N'$,日,"表3.2(注)4 表3.14,表3.15 機械損料 水上からの施工のみ計上する。"
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,継鋼矢板圧入 (Nmax≤50),,,,,10,枚,,,諸雑費,1,式,表3.17
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板引抜き,,,,,10,枚,,労務,土木一般世話役,$10/N\times1$,人,表3.3 表3.12
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板引抜き,,,,,10,枚,,労務,特殊作業員,$10/N\times1$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板引抜き,,,,,10,枚,,労務,とび工,$10/N\times2$,人,
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板引抜き,,,,,10,枚,,機械,油圧式杭圧入引抜機運転,$10/N$,日,表3.1 表3.12 機械損料
仮設工,鋼矢板(H形鋼) 工 油圧圧入引抜工,鋼矢板引抜き,,,,,10,枚,,機械,ラフテレーンクレーン運転,$10/N$,日,表3.2(注)2 表3.12 機械損料 陸上からの施工のみ計上する。
